wheel_mass_kg,wheel_inertia_distribution,wheel_inertia_kg_m2,hub_inertia_kg_m2,motor_rotor_inertia_included_kg_m2,driven_inertia_without_motor_rotor_kg_m2,target_rpm,spinup_time_at_20a_s,two_second_objective_torque_nm,two_second_objective_current_a,available_current_at_target_a,available_torque_at_target_nm,voltage_required_at_20a_v,kinetic_energy_per_wheel_j,pair_contact_energy_reservoir_j,peak_mechanical_power_per_motor_w,calibrated_rebound_event_energy_surrogate_j,predicted_droop_for_surrogate_rpm,predicted_recovery_for_surrogate_s,spinup_time_with_0p2e_minus3_rotor_inertia_s
0.7,LOW_SOLID_DISK_BOUND,0.0035000000000000005,1.162108290866641e-06,0.0,0.003501162108290867,1000,0.5913561913136312,0.18332041930722565,5.913561913136311,20.0,0.62,4.4837037037037035,19.197269418286016,38.39453883657203,64.92624817418906,1.4447156780000003,18.99447275154851,0.011232499062366275,0.6251367574812634
0.7,LOW_SOLID_DISK_BOUND,0.0035000000000000005,1.162108290866641e-06,0.0,0.003501162108290867,1250,0.739195239142039,0.22915052413403209,7.39195239142039,20.0,0.62,5.40962962962963,29.995733466071908,59.991466932143815,81.15781021773633,1.4447156780000003,15.142986215807769,0.008954898653694898,0.7814209468515791
0.7,LOW_SOLID_DISK_BOUND,0.0035000000000000005,1.162108290866641e-06,0.0,0.003501162108290867,1500,0.8870342869704468,0.2749806289608385,8.87034286970447,20.0,0.62,6.335555555555556,43.19385619114355,86.3877123822871,97.3893722612836,1.4447156780000003,12.595601562234114,0.007448486967146788,0.937705136221895
0.7,LOW_SOLID_DISK_BOUND,0.0035000000000000005,1.162108290866641e-06,0.0,0.003501162108290867,1750,1.0348733347988546,0.3208107337876449,10.348733347988546,20.0,0.62,7.261481481481482,58.79163759350092,117.58327518700185,113.62093430483084,1.4447156780000003,10.784129415784083,0.006377261697951369,1.0939893255922108
0.7,LOW_SOLID_DISK_BOUND,0.0035000000000000005,1.162108290866641e-06,0.0,0.003501162108290867,2000,1.1827123826272623,0.3666408386144513,11.827123826272622,20.0,0.62,8.187407407407408,76.78907767314406,153.57815534628813,129.8524963483781,1.4447156780000003,9.429266644359622,0.00557605520968917,1.2502735149625268
0.7,HIGH_THIN_RING_BOUND,0.007000000000000001,1.162108290866641e-06,0.0,0.007001162108290868,1000,1.1825160992471944,0.3665799907666303,11.825160992471945,20.0,0.62,4.4837037037037035,38.38816686484866,76.77633372969731,64.92624817418906,1.4447156780000003,9.453282607784192,0.011178658874438311,1.2162966654148266
0.7,HIGH_THIN_RING_BOUND,0.007000000000000001,1.162108290866641e-06,0.0,0.007001162108290868,1250,1.4781451240589931,0.45822498845828785,14.78145124058993,20.0,0.62,5.40962962962963,59.981510726326036,119.96302145265207,81.15781021773633,1.4447156780000003,7.549679328587972,0.008927617350209027,1.5203708317685332
0.7,HIGH_THIN_RING_BOUND,0.007000000000000001,1.162108290866641e-06,0.0,0.007001162108290868,1500,1.7737741488707917,0.5498699861499454,17.73774148870792,20.0,0.62,6.335555555555556,86.3733754459095,172.746750891819,97.3893722612836,1.4447156780000003,6.285569683249667,0.00743278734338282,1.8244449981222401
0.7,HIGH_THIN_RING_BOUND,0.007000000000000001,1.162108290866641e-06,0.0,0.007001162108290868,1750,2.0694031736825904,0.641514983841603,20.694031736825902,20.0,0.62,7.261481481481482,117.563761023599,235.127522047198,113.62093430483084,1.4447156780000003,5.384627106451932,0.006367408241822246,2.1285191644759465
0.7,HIGH_THIN_RING_BOUND,0.007000000000000001,1.162108290866641e-06,0.0,0.007001162108290868,2000,2.3650321984943887,0.7331599815332606,23.65032198494389,20.0,0.62,8.187407407407408,153.55266745939463,307.10533491878925,129.8524963483781,1.4447156780000003,4.709845827806955,0.0055694685163539545,2.4325933308296532
