case_id,category,friction_coefficient,friction_classification,target_wheel_speed_rad_s,actual_wheel_speed_rad_s,wheel_surface_speed_m_s,actual_wheel_speed_rpm,timestep_s,exit_position_m,exit_velocity_vector_m_s,exit_speed_m_s,elevation_deg,spin_vector_rad_s,spin_rpm,contact_duration_s,sampled_bilateral_duration_s,contact_travel_m,contact_arc_deg_per_wheel,first_contact_position_m,release_position_m,maximum_compression_position_world_m,maximum_compression_position_launcher_local_m,normal_impulse_n_s_per_wheel,tangential_impulse_n_s_per_wheel,mean_normal_force_n_per_wheel,mean_tangential_force_n_per_wheel,peak_normal_force_n_per_wheel,peak_tangential_force_n_per_wheel,maximum_diametral_compression_m,loading_duration_s,unloading_duration_s,near_coulomb_limit_fraction,mean_friction_utilization,mean_slip_velocity_m_s,mean_slip_ratio,wheel_energy_pre_j,wheel_energy_loss_j,postrelease_wheel_energy_fraction,motor_work_during_contact_j,ball_mechanical_energy_gain_j,contact_dissipation_j,energy_residual_fraction,wheel_droop_percent,recovery_time_s,peak_event_current_a,peak_event_torque_nm,estimated_peak_bus_voltage_v,successful_and_clear,secondary_checks_passed
regression_mu_0p3_dt_1ms,friction_speed_matrix,0.3,REUSED_BOUNDED_SENSITIVITY_ASSUMPTION,80.0,79.99680599999999,7.9996806,763.9132263878033,0.001,"[0.038094, 0.0, 0.358997]","[5.01907, 0.0, 1.61728]",5.273201898590647,17.860343423863593,"[0.0, -0.0500238, 0.0]",0.4776921025344213,0.016000000000000125,0.015000000000000124,0.0579400386002633,25.26285599408703,"[-0.0272511, 0.0, 0.338484]","[0.0280559, 0.0, 0.355752]","[0.000758727, 0.0, 0.346941]","[-0.0003332694553421834, 0.0, -0.003134019644269128]",0.2524683600000005,0.07574051833319194,16.831223999999892,5.049367888879421,27.1548,8.146440637344408,0.00799914,0.009999999999999787,0.0050000000000003375,1.0,0.9999999662576214,4.284619263767951,0.5381400497927713,43.203987448050626,1.133428504385705,0.9737656505490712,0.5361999999999938,0.5666448169348206,0.6590810488547154,0.0003259526559147397,1.3335607424126228,0.20900000000000007,6.8871290322580645,0.213501,3.097906278138818,True,True
sym_mu_0p3_w120,friction_speed_matrix,0.3,REUSED_BOUNDED_SENSITIVITY_ASSUMPTION,120.0,119.918365,11.9918365,1145.136033434888,0.001,"[0.0382418, 0.0, 0.358541]","[5.03775, 0.0, 1.57005]",5.276739719277425,17.310010386498487,"[0.0, -0.0326226, 0.0]",0.31152288279057994,0.016000000000000125,0.015000000000000124,0.057953379183271106,25.258931611725288,"[-0.0272511, 0.0, 0.338435]","[0.0281663, 0.0, 0.355391]","[0.000783493, 0.0, 0.346814]","[-0.00035343358609815536, 0.0, -0.0032618310779785314]",0.25242347000000054,0.07572702831028119,16.82823133333323,5.048468554018704,27.155,8.146490667334582,0.00799904,0.009999999999999787,0.0050000000000003375,1.0,0.999999743356305,8.28037745835143,0.6925970462741677,97.08450788248689,1.6242509068026578,0.9832697209654842,1.1565999999999974,0.8278182540913834,1.2640647770076947,-0.0028629431917337944,0.849215214033304,0.21299999999999963,9.515709677419355,0.294987,4.6123572456967175,True,True
sym_mu_0p3_w160,friction_speed_matrix,0.3,REUSED_BOUNDED_SENSITIVITY_ASSUMPTION,160.0,159.69977500000002,15.969977500000002,1525.0205161148097,0.001,"[0.0383157, 0.0, 0.358436]","[5.04483, 0.0, 1.55151]",5.2780197999818075,17.09499522969334,"[0.0, -0.0235963, 0.0]",0.2253280670207574,0.016000000000000125,0.015000000000000124,0.05797637920230962,25.265497636324465,"[-0.0272511, 0.0, 0.338484]","[0.028226, 0.0, 0.355323]","[0.000800932, 0.0, 0.346834]","[-0.00033020588361776866, 0.0, -0.0032490017148423026]",0.25243057000000035,0.07572919761725774,16.82870466666655,5.048613174483807,27.1548,8.146431571836974,0.00799916,0.010000000000000231,0.004999999999999893,1.0,1.0000006600785463,12.270006823457637,0.769486031541895,172.18176084251695,1.8682597168983364,0.9891494911670284,2.0260000000000105,0.5678001111975592,1.8684441132505514,-0.0015414846077404065,0.5515192491661483,0.22299999999999986,12.227548387096775,0.379054,6.125098520855328,True,True
sym_mu_0p3_w200,friction_speed_matrix,0.3,REUSED_BOUNDED_SENSITIVITY_ASSUMPTION,200.0,199.56158,19.956158000000002,1905.672714493723,0.001,"[0.0383481, 0.0, 0.358351]","[5.04857, 0.0, 1.54158]",5.278686194622673,16.98004208634149,"[0.0, -0.0184235, 0.0]",0.17593146564321202,0.016000000000000125,0.015000000000000124,0.057981464110610385,25.265403926714402,"[-0.0272511, 0.0, 0.338484]","[0.028251, 0.0, 0.355258]","[0.000807159, 0.0, 0.346818]","[-0.00032982673996133187, 0.0, -0.0032661665562073285]",0.25242769000000054,0.07572831034087672,16.828512666666562,5.048554022725073,27.1548,8.14642589620862,0.00799916,0.009999999999999787,0.0050000000000003375,1.0,1.0000002985733139,16.264101795054632,0.8156653388852523,268.8638441900499,2.0991945388202,0.9921923509457212,3.1280000000000427,0.5679558056579612,2.473356143258651,-0.0018928466718954244,0.3976617142437896,0.22799999999999976,14.891064516129033,0.461623,7.6387986068465255,True,True
sym_mu_0p3_w240,friction_speed_matrix,0.3,REUSED_BOUNDED_SENSITIVITY_ASSUMPTION,240.0,239.56,23.956000000000003,2287.629490025667,0.001,"[0.0383682, 0.0, 0.358297]","[5.05089, 0.0, 1.53539]",5.279101461820941,16.90843526795438,"[0.0, -0.0150919, 0.0]",0.14411702913891453,0.01599999999999968,0.01499999999999968,0.05798436078159351,25.265308938579995,"[-0.0272511, 0.0, 0.338484]","[0.0282664, 0.0, 0.355217]","[0.000811019, 0.0, 0.346808]","[-0.00032961972787835846, 0.0, -0.0032768836801684346]",0.2524261999999987,0.07572789847755662,16.828413333333607,5.048526565170549,27.1548,8.146432481074473,0.00799916,0.009999999999999787,0.004999999999999893,1.0,1.0000005883175156,20.26378606832728,0.8464656193889728,387.44239902526715,2.5188936886462443,0.9934986627819172,4.446000000000026,0.5680522544911737,3.0791138468858352,-0.0014701197511588755,0.3310235431624672,0.2270000000000003,17.472709677419353,0.541654,9.154137492329234,True,True
sym_mu_0p3_w280,friction_speed_matrix,0.3,REUSED_BOUNDED_SENSITIVITY_ASSUMPTION,280.0,279.9224874371859,27.99224874371859,2673.0628534924267,0.001,"[0.0383819, 0.0, 0.358261]","[5.05247, 0.0, 1.53116]",5.279384817050183,16.859525527716347,"[0.0, -0.0127674, 0.0]",0.12191968922588786,0.015999999999998793,0.014999999999998792,0.05798634157282212,25.265276974722134,"[-0.0272511, 0.0, 0.338484]","[0.0282769, 0.0, 0.355189]","[0.000813651, 0.0, 0.346801]","[-0.00032954059790372254, 0.0, -0.0032843617255311494]",0.2524253199999919,0.07572762477499213,16.828354666667483,5.048508318333216,27.1548,8.146426593849556,0.00799916,0.009999999999999787,0.004999999999999005,1.0,1.0000003390829832,24.277911331083743,0.8685140417471471,528.998101921206,3.8123490329027163,0.9927932651949845,5.9240000000002055,0.568118552994439,3.6870478286252837,0.00031937145467081157,0.3649179623038027,0.21300000000000097,19.836451612903225,0.61493,10.673854403615916,True,True
sym_mu_0p3_w300,friction_speed_matrix,0.3,REUSED_BOUNDED_SENSITIVITY_ASSUMPTION,300.0,299.94001005025126,29.994001005025126,2864.216113831815,0.001,"[0.0383872, 0.0, 0.358246]","[5.05308, 0.0, 1.52951]",5.279490347230497,16.840468534808508,"[0.0, -0.0118556, 0.0]",0.11321264059921647,0.01600000000000057,0.015000000000000568,0.05798709999999999,25.265193366809388,"[-0.0272511, 0.0, 0.338484]","[0.028281, 0.0, 0.355178]","[0.00081467, 0.0, 0.346798]","[-0.00032960911155312917, 0.0, -0.0032875293219195847]",0.2524252200000103,0.07572756065007749,16.828348000000048,5.048504043338308,27.1548,8.14642641626106,0.00799916,0.009999999999999787,0.005000000000000782,1.0,1.0000000767229709,26.278225748759613,0.877294783810287,607.3616129168471,4.257086096251896,0.9929908542033019,6.619999999999891,0.5681423406417501,3.9900107726317438,0.0003603093900636448,0.3514069530352585,0.23699999999999832,20.0,0.62,11.388207829006722,True,True
sym_mu_0p6_w080,friction_speed_matrix,0.6,REUSED_BOUNDED_SENSITIVITY_ASSUMPTION,80.0,79.99680599999999,7.9996806,763.9132263878033,0.001,"[0.0436859, 0.0, 0.362197]","[6.52816, 0.0, 2.26678]",6.910511164450861,19.148589995990356,"[0.0, -0.114416, 0.0]",1.0925923181281378,0.013999999999999901,0.0129999999999999,0.060972652332746693,26.561251284907648,"[-0.0272511, 0.0, 0.338484]","[0.0306296, 0.0, 0.357654]","[0.00073476, 0.0, 0.347285]","[-0.00023813613908052532, 0.0, -0.002802568185943679]",0.2068568800000009,0.12411405368209509,15.912067692307884,9.547234898622772,27.1558,16.293458646586842,0.00799956,0.008999999999999897,0.0040000000000000036,1.0,0.9999996081725158,3.5860808327272675,0.45098579307838027,43.203987448050626,1.854259956667569,0.9570812773034626,0.5198000000000036,1.1469706022983572,0.8666036276052062,-0.000348740681085923,2.202470433632058,0.27300000000000013,8.008290322580645,0.248257,3.1416315684613982,True,True
sym_mu_0p6_w120,friction_speed_matrix,0.6,REUSED_BOUNDED_SENSITIVITY_ASSUMPTION,120.0,119.918365,11.9918365,1145.136033434888,0.001,"[0.0439097, 0.0, 0.361526]","[6.56043, 0.0, 2.18511]",6.914763010906448,18.42158546771868,"[0.0, -0.0851352, 0.0]",0.8129812746670276,0.013999999999999901,0.0129999999999999,0.060981403009524156,26.55491091861719,"[-0.0272511, 0.0, 0.338435]","[0.0307888, 0.0, 0.357146]","[0.000768571, 0.0, 0.347117]","[-0.0002638235759578457, 0.0, -0.002972000589301697]",0.20681817000000088,0.1240907571948743,15.90909000000019,9.545442861144249,27.1565,16.293832218451254,0.00799946,0.008999999999999897,0.0040000000000000036,1.0,0.9999992121232667,7.582773274981198,0.6352896637366539,97.08450788248689,2.712920084388003,0.9720560968628303,1.0935999999999808,1.4086440558124405,1.8580221105672055,-0.0031718520959022637,1.4296100518048265,0.2759999999999998,10.638354838709677,0.329789,4.65614040698704,True,True
sym_mu_0p6_w160,friction_speed_matrix,0.6,REUSED_BOUNDED_SENSITIVITY_ASSUMPTION,160.0,159.69977500000002,15.969977500000002,1525.0205161148097,0.001,"[0.04402, 0.0, 0.361351]","[6.5719, 0.0, 2.15505]",6.916220796974313,18.155293306186408,"[0.0, -0.0620072, 0.0]",0.5921251432372663,0.014000000000000346,0.013000000000000345,0.061014541006959966,26.565131837236873,"[-0.0272511, 0.0, 0.338484]","[0.0308762, 0.0, 0.357031]","[0.000797485, 0.0, 0.347126]","[-0.00023357512223051735, 0.0, -0.00297343252613876]",0.2068144799999996,0.12408871514662778,15.908806153845703,9.545285780509577,27.1557,16.293461055944313,0.00799958,0.009000000000000341,0.0040000000000000036,1.0,1.000000096367425,11.571549127856766,0.7267077847375675,172.18176084251695,3.325592986063299,0.9806855675665612,1.8900000000000432,1.1487789624268743,2.848323009542122,-0.001714154191490812,0.9879631953144595,0.28200000000000003,13.35225806451613,0.41392,6.168962198274683,True,True
