time_s,compression_m,compression_rate_m_s,force_n,elastic_force_n,damping_force_n,viscous_energy_j
0.00025,0.0017635273544734228,7.042583886336382,10.39449737998853,7.947135877771249,2.447361502217282,0.0017385448395863545
0.0005,0.0035157715267937987,6.9618872272124115,29.180176509569325,22.37011953008138,6.810056979487946,0.009655007859460031
0.00075,0.005236759814305598,6.789116231791309,52.738565349320915,40.6659873037661,12.072578045554813,0.025808019730156173
0.001,0.006901285671970246,6.508230365790105,79.03084083573859,61.52226913467651,17.508571701062074,0.0504216943153622
0.00125,0.008481182393384891,6.111447636315737,106.213669252886,83.81503726090759,22.39863199197842,0.08202478006980118
0.0015,0.009947317083517704,5.598760380843758,132.52656003395737,106.46240692239448,26.064153111562888,0.11770007232144553
0.00175,0.011271480748301933,4.977457121244712,156.36229717358296,128.4129426478993,27.949354525683646,0.1536584131302829
0.002,0.012428109616397176,4.261219409337654,176.3808760235246,148.67739748755707,27.70347853596752,0.1860621726866029
0.0022500000000000003,0.013395719861283571,3.4687418075299306,191.60998235723406,166.37436959381273,25.23561276342133,0.2118912300158716
0.0025000000000000005,0.014157950192862234,2.622006388743573,201.5013620107439,180.7748076153444,20.72655439539949,0.2296064361184525
0.0027500000000000007,0.014704152619148949,1.7444334624580597,205.93139072639505,191.33628631425893,14.595104412136124,0.23942616721475418
0.003000000000000001,0.015029530332824078,0.8591445302612187,205.15029767648244,197.7222080009745,7.428089675507948,0.24316003048112353
0.003250000000000001,0.015134875984146465,-0.012472074225741814,199.6957032223049,199.80467142344324,-0.10896820113833883,0.24368221664477038
0.0035000000000000014,0.015026066813589459,-0.8507747531925198,189.60789604502517,196.9610788308531,-7.353182785827926,0.24421975430582685
0.0037500000000000016,0.01471394076260606,-1.6359209795937084,175.2154996720428,188.91638468966184,-13.700885017619044,0.24763912298205548
0.004000000000000002,0.014213901916135734,-2.351818666346269,157.67469551754863,176.37577168743525,-18.70107616988662,0.2558778075031075
0.004250000000000002,0.013544745104112545,-2.987451209324891,138.16537605381416,160.26321839316586,-22.0978423393517,0.2696664378841834
0.004500000000000002,0.012727393297464425,-3.536757451747528,117.79346080055429,141.62254045770175,-23.82907965714746,0.288567532896087
0.0047500000000000025,0.011783711650344371,-3.998162449585557,97.52669639071873,121.52477053261048,-23.99807414189175,0.3112517362014132
0.005000000000000003,0.010735467582991168,-4.373900782531255,78.16180972712024,100.99113990563066,-22.829330178510418,0.3358908470273423
0.005250000000000003,0.009603472876583275,-4.669255151606599,60.31683122096605,80.93655639212467,-20.61972517115862,0.3605525662523043
0.005500000000000003,0.008406916745424613,-4.891802584841504,44.441037700437604,62.134663442186366,-17.69362574174876,0.3835164652503642
0.005750000000000003,0.00716287982005748,-5.050728478388529,30.8353901418009,45.20279445772317,-14.367404315922272,0.40347406185901386
0.006000000000000004,0.0058860075464864875,-5.1562405679384895,19.677604073135967,30.60350323671837,-10.925899163582404,0.41961320736174645
0.006250000000000004,0.004588316394829602,-5.219092534188251,11.047262494514221,18.65872002108455,-7.61145752657033,0.43161140482250854
0.006500000000000004,0.003279106179894544,-5.250208534498732,4.946765976513835,9.572733375941128,-4.625967399427293,0.43957432752461506
0.006750000000000004,0.0019649564925510333,-5.260377705862637,1.311009500790428,3.4610128251674936,-2.1500033243770655,0.44396019196349434
0.0070000000000000045,0.0006497989208403296,-5.259941050652883,0.0,0.3841297955350209,-0.3841297955350209,0.44553881146138735
