time_s,phase,compression_m,compression_rate_m_s,force_n,elastic_force_n,damping_force_n,axis,repeat,solver_timestep_s
0.0,preconditioning_load,0.0,0.0,0.0,0.0,0.0,x,1,0.00025
0.07619999999999999,preconditioning_load,0.000254,0.0033333333333333335,0.43446141292539586,0.4343980956650968,6.331726029906726e-05,x,1,0.00025
0.15239999999999998,preconditioning_load,0.000508,0.0033333333333333335,1.2288424449737447,1.2286633567172502,0.00017908825649448623,x,1,0.00025
0.22859999999999994,preconditioning_load,0.0007619999999999999,0.0033333333333333335,2.257527723344842,2.2571987172093397,0.0003290061355021301,x,1,0.00025
0.30479999999999996,preconditioning_load,0.001016,0.0033333333333333335,3.475691303403167,3.4751847653207744,0.0005065380823925381,x,1,0.00025
0.381,preconditioning_load,0.00127,0.0033333333333333335,4.857426264508956,4.856718356018067,0.0007079084908889755,x,1,0.00025
0.4571999999999999,preconditioning_load,0.0015239999999999997,0.0033333333333333335,6.385252647575064,6.384322077697202,0.0009305698778625526,x,1,0.00025
0.5333999999999999,preconditioning_load,0.0017779999999999998,0.0033333333333333335,8.046337969980383,8.04516531790924,0.0011726520711441424,x,1,0.00025
0.6095999999999999,preconditioning_load,0.002032,0.0033333333333333335,9.830739559789958,9.829306853738002,0.0014327060519558898,x,1,0.00025
0.6857999999999999,preconditioning_load,0.002286,0.0033333333333333335,11.730458148985687,11.728748582957612,0.0017095660280741498,x,1,0.00025
0.7619999999999999,preconditioning_load,0.00254,0.0033333333333333335,13.738876202991694,13.736873935414225,0.002002267577468686,x,1,0.00025
0.8381999999999997,preconditioning_load,0.0027939999999999996,0.0033333333333333335,15.850400418173221,15.848090422626402,0.002309995546818655,x,1,0.00025
0.9143999999999997,preconditioning_load,0.0030479999999999995,0.0033333333333333335,18.060221786758735,18.057589737674718,0.0026320490840170407,x,1,0.00025
0.9905999999999997,preconditioning_load,0.003302,0.0033333333333333335,20.364147719669624,20.361179902497433,0.0029678171721911895,x,1,0.00025
1.0667999999999997,preconditioning_load,0.0035559999999999997,0.0033333333333333335,22.758480569167713,22.755163808241797,0.003316760925915929,x,1,0.00025
1.1429999999999998,preconditioning_load,0.00381,0.0033333333333333335,25.239927252447032,25.236248852027046,0.0036784004199859055,x,1,0.00025
1.2191999999999998,preconditioning_load,0.004064,0.0033333333333333335,27.805530427225335,27.801478122566195,0.0040523046591403045,x,1,0.00025
1.2953999999999999,preconditioning_load,0.004318,0.0033333333333333335,30.452615027690452,30.44817694390411,0.004438083786343583,x,1,0.00025
1.3716,preconditioning_load,0.004572,0.0033333333333333335,33.17874601429111,33.17391063136576,0.004835382925350018,x,1,0.00025
1.4478,preconditioning_load,0.0048259999999999996,0.0033333333333333335,35.981694482384235,35.97645060514275,0.005243877241483119,x,1,0.00025
1.5240000000000002,preconditioning_load,0.00508,0.0033333333333333335,38.85941011607165,38.85374684814454,0.005663267927111804,x,1,0.00025
1.6002000000000003,preconditioning_load,0.005334,0.0033333333333333335,41.80999853662994,41.80390525772947,0.006093278900472399,x,1,0.00025
1.6764,preconditioning_load,0.005587999999999999,0.0033333333333333335,44.831702480849486,44.82516882678682,0.006533654062664596,x,1,0.00025
1.7526,preconditioning_load,0.005841999999999999,0.0033333333333333335,47.922886014723744,47.915901859726766,0.00698415499697802,x,1,0.00025
1.8288,preconditioning_load,0.006095999999999999,0.0033333333333333335,51.08202118060051,51.07457662157761,0.007444559022900421,x,1,0.00025
1.9050000000000002,preconditioning_load,0.00635,0.0033333333333333335,54.30767661567448,54.2997619581371,0.007914657537384073,x,1,0.00025
1.9812000000000003,preconditioning_load,0.006604,0.0033333333333333335,57.598507782651836,57.59011352806072,0.00839425459111709,x,1,0.00025
2.0574000000000003,preconditioning_load,0.0068579999999999995,0.0033333333333333335,60.95324853031074,60.94436536465218,0.008883165658559733,x,1,0.00025
2.1336000000000004,preconditioning_load,0.007111999999999999,0.0033333333333333335,64.37070375984307,64.36132254327391,0.009381216569153139,x,1,0.00025
2.2098000000000004,preconditioning_load,0.007365999999999999,0.0033333333333333335,67.84974301736942,67.83985477479587,0.009888242573552475,x,1,0.00025
2.2860000000000005,preconditioning_load,0.00762,0.0033333333333333335,71.38929486744176,71.3788907799182,0.01040408752356825,x,1,0.00025
2.3622,preconditioning_load,0.007873999999999999,0.0033333333333333335,74.98834192923472,74.97741332608592,0.010928603148798288,x,1,0.00025
