time_s,phase,compression_m,compression_rate_m_s,force_n,elastic_force_n,damping_force_n
0.00025,cover_preload,8.333333333333334e-07,0.0033333333333333335,8.164484450513286e-05,8.163294580085715e-05,1.1898704275708594e-08
0.0005,cover_preload,1.6666666666666669e-06,0.0033333333333333335,0.0002309264927940027,0.00023089283817607996,3.365461792275283e-08
0.00075,cover_preload,2.5e-06,0.0033333333333333335,0.00042423905657685234,0.000424177229095803,6.182748104932361e-08
0.001,cover_preload,3.3333333333333337e-06,0.0033333333333333335,0.0006531587560410629,0.0006530635664068572,9.518963420566875e-08
0.00125,cover_preload,4.166666666666667e-06,0.0033333333333333335,0.0009128171116293862,0.0009126840800713628,1.3303155802337277e-07
0.0015,cover_preload,5e-06,0.0033333333333333335,0.0011999292549987027,0.001199754380474248,1.7487452445472638e-07
0.00175,cover_preload,5.833333333333334e-06,0.0033333333333333335,0.0015120836807378391,0.001511863313650777,2.203670870621309e-07
0.002,cover_preload,6.6666666666666675e-06,0.0033333333333333335,0.0018474119423520217,0.0018471427054086397,2.6923694338202263e-07
0.0022500000000000003,cover_preload,7.500000000000001e-06,0.0033333333333333335,0.002204410801638587,0.002204089536623143,3.212650154442269e-07
0.0025000000000000005,cover_preload,8.333333333333334e-06,0.0033333333333333335,0.002581836678465027,0.0025814604083978666,3.762700671603239e-07
0.0027500000000000007,cover_preload,9.166666666666666e-06,0.0033333333333333335,0.00297863846819479,0.0029782043692814764,4.340989133134153e-07
0.003000000000000001,cover_preload,9.999999999999999e-06,0.0033333333333333335,0.003393912452614818,0.0033934178327664232,4.946198483945889e-07
0.003250000000000001,cover_preload,1.0833333333333332e-05,0.0033333333333333335,0.0038268707521270295,0.0038263130340781197,5.577180489098159e-07
0.0035000000000000014,cover_preload,1.1666666666666665e-05,0.0033333333333333335,0.004276818497484961,0.004276195205238514,6.232922464474711e-07
0.0037500000000000016,cover_preload,1.2499999999999997e-05,0.0033333333333333335,0.004743136846081103,0.004742445593828583,6.912522525198e-07
0.004000000000000002,cover_preload,1.333333333333333e-05,0.0033333333333333335,0.005225270048328499,0.005224508531254854,7.6151707364535e-07
0.004250000000000002,cover_preload,1.4166666666666663e-05,0.0033333333333333335,0.0057227154005904685,0.005721881387143343,8.340134471252619e-07
0.004500000000000002,cover_preload,1.4999999999999995e-05,0.0033333333333333335,0.006235015305438069,0.006234106630754154,9.086746839146245e-07
0.0047500000000000025,cover_preload,1.583333333333333e-05,0.0033333333333333335,0.006761750902720353,0.0067607654629799115,9.85439740441331e-07
0.005000000000000003,cover_preload,1.6666666666666664e-05,0.0033333333333333335,0.007302536893035087,0.0073014726405709,1.0642524641869822e-06
0.005250000000000003,cover_preload,1.75e-05,0.0033333333333333335,0.007857017281001083,0.00785587222002776,1.145060973322884e-06
0.005500000000000003,cover_preload,1.8333333333333333e-05,0.0033333333333333335,0.008424861838254584,0.008423634021113346,1.227817141237833e-06
0.005750000000000003,cover_preload,1.9166666666666667e-05,0.0033333333333333335,0.00900576313685467,0.009004450660690473,1.312476164196455e-06
0.006000000000000004,cover_preload,2e-05,0.0033333333333333335,0.009599434039989621,0.009598035043793984,1.398996195637811e-06
0.006250000000000004,cover_preload,2.0833333333333336e-05,0.0033333333333333335,0.010205605563141608,0.010204118225107143,1.487338034464672e-06
0.006500000000000004,cover_preload,2.166666666666667e-05,0.0033333333333333335,0.01082402503821395,0.010822447573356453,1.5774648574971156e-06
0.006750000000000004,cover_preload,2.2500000000000005e-05,0.0033333333333333335,0.011454454527575014,0.011452785185586683,1.6693419883310329e-06
0.0070000000000000045,cover_preload,2.333333333333334e-05,0.0033333333333333335,0.012096669445902717,0.01209490650920622,1.7629366964970472e-06
0.007250000000000005,cover_preload,2.4166666666666674e-05,0.0033333333333333335,0.012750457356077305,0.012748599138055337,1.8582180219672145e-06
0.007500000000000005,cover_preload,2.5000000000000008e-05,0.0033333333333333335,0.013415616911838896,0.013413661755217828,1.9551566210682103e-06
0.007750000000000005,cover_preload,2.5833333333333342e-05,0.0033333333333333335,0.014091956924978801,0.014089903200348265,2.053724630536255e-06
0.008000000000000005,cover_preload,2.6666666666666677e-05,0.0033333333333333335,0.014779295538816179,0.014777141643269123,2.153895547056181e-06
0.008250000000000006,cover_preload,2.750000000000001e-05,0.0033333333333333335,0.015477459492877538,0.01547520384875743,2.255644120107564e-06
0.008500000000000006,cover_preload,2.8333333333333346e-05,0.0033333333333333335,0.016186283466232857,0.016183924519976606,2.358946256251354e-06
0.008750000000000006,cover_preload,2.916666666666668e-05,0.0033333333333333335,0.0169056094889895,0.016903145710056126,2.4637789333738225e-06
0.009000000000000006,cover_preload,3.0000000000000014e-05,0.0033333333333333335,0.017635286413108704,0.01763271629298515,2.570120123553815e-06
0.009250000000000006,cover_preload,3.083333333333335e-05,0.0033333333333333335,0.018375169435070338,0.01837249148634682,2.677948723515955e-06
0.009500000000000007,cover_preload,3.166666666666668e-05,0.0033333333333333335,0.019125119664031305,0.019122332419539638,2.787244491667118e-06
0.009750000000000007,cover_preload,3.250000000000001e-05,0.0033333333333333335,0.019885003730050033,0.019882105742059,2.8979879910309703e-06
0.010000000000000007,cover_preload,3.333333333333334e-05,0.0033333333333333335,0.02065469342772022,0.020651683267182936,3.0101605372825913e-06
0.010250000000000007,cover_preload,3.416666666666667e-05,0.0033333333333333335,0.02143406539120235,0.021430941647050932,3.1237441514182784e-06
0.010500000000000008,cover_preload,3.5000000000000004e-05,0.0033333333333333335,0.022223000797183024,0.02221976207566659,3.2387215164325633e-06
0.010750000000000008,cover_preload,3.5833333333333335e-05,0.0033333333333333335,0.02302138509275,0.023018030016812307,3.355075937693658e-06
0.011000000000000008,cover_preload,3.6666666666666666e-05,0.0033333333333333335,0.02382910774555832,0.02382563495425181,3.4727913065073224e-06
0.011250000000000008,cover_preload,3.75e-05,0.0033333333333333335,0.02464606201399342,0.02464247016192679,3.5918520666297638e-06
0.011500000000000008,cover_preload,3.833333333333333e-05,0.0033333333333333335,0.025472144735319082,0.025468432492135686,3.7122431833964964e-06
0.011750000000000009,cover_preload,3.916666666666666e-05,0.0033333333333333335,0.02630725613004016,0.02630342217992495,3.833950115210427e-06
0.012000000000000009,cover_preload,3.999999999999999e-05,0.0033333333333333335,0.027151299620918532,0.027147342662131375,3.956958787156711e-06
0.01225000000000001,cover_preload,4.083333333333332e-05,0.0033333333333333335,0.02800418166526055,0.02800010040969398,4.081255566570907e-06
0.01250000000000001,cover_preload,4.166666666666665e-05,0.0033333333333333335,0.028865811599250318,0.028861604772009972,4.206827240345323e-06
0.01275000000000001,cover_preload,4.249999999999998e-05,0.0033333333333333335,0.02973610149323871,0.029731767832244863,4.333660993848659e-06
0.01300000000000001,cover_preload,4.3333333333333314e-05,0.0033333333333333335,0.030614966017016226,0.030610504272624947,4.461744391278527e-06
0.01325000000000001,cover_preload,4.4166666666666645e-05,0.0033333333333333335,0.03150232231420113,0.031497731248843766,4.5910653573635885e-06
0.01350000000000001,cover_preload,4.4999999999999976e-05,0.0033333333333333335,0.03239808988496494,0.032393368272804667,4.721612160273059e-06
0.01375000000000001,cover_preload,4.583333333333331e-05,0.0033333333333333335,0.033302190476396945,0.033297337103001305,4.853373395639904e-06
0.01400000000000001,cover_preload,4.666666666666664e-05,0.0033333333333333335,0.03421454797987966,0.03420956164190808,4.9863379715797684e-06
0.014250000000000011,cover_preload,4.749999999999997e-05,0.0033333333333333335,0.0351350883349091,0.035129967839814376,5.120495094726452e-06
0.014500000000000011,cover_preload,4.83333333333333e-05,0.0033333333333333335,0.03606373943884858,0.03605848360459156,5.255834257020253e-06
0.014750000000000011,cover_preload,4.916666666666663e-05,0.0033333333333333335,0.03700043106215365,0.03699503871693025,5.392345223398376e-06
0.015000000000000012,cover_preload,4.999999999999996e-05,0.0033333333333333335,0.037945094768648796,0.03793956475062864,5.5300180201584e-06
0.015250000000000012,cover_preload,5.083333333333329e-05,0.0033333333333333335,0.0388976638404754,0.038891994997551395,5.668842924001771e-06
0.015500000000000012,cover_preload,5.1666666666666624e-05,0.0033333333333333335,0.039858073207364876,0.03985226439691311,5.808810451764235e-06
0.01575000000000001,cover_preload,5.2499999999999955e-05,0.0033333333333333335,0.0408262593799216,0.040820309468570924,5.949911350673631e-06
0.01600000000000001,cover_preload,5.3333333333333286e-05,0.0033333333333333335,0.04180216038662796,0.041796068250038794,6.0921365891628e-06
0.01625000000000001,cover_preload,5.416666666666662e-05,0.0033333333333333335,0.042785715714308885,0.04277948023696068,6.2354773482029e-06
0.01650000000000001,cover_preload,5.499999999999995e-05,0.0033333333333333335,0.04377686625181515,0.04377048632680206,6.379925013087762e-06
0.01675000000000001,cover_preload,5.583333333333328e-05,0.0033333333333333335,0.04477555423670528,0.04476902876553961,6.525471165669261e-06
0.01700000000000001,cover_preload,5.666666666666661e-05,0.0033333333333333335,0.0457817232047237,0.0457750510971467,6.6721075770020954e-06
0.017250000000000012,cover_preload,5.749999999999994e-05,0.0033333333333333335,0.0467953179418894,0.04678849811568907,6.819826200335499e-06
0.017500000000000012,cover_preload,5.833333333333327e-05,0.0033333333333333335,0.047816284439024366,0.04780931581985984,6.968619164528234e-06
0.017750000000000012,cover_preload,5.91666666666666e-05,0.0033333333333333335,0.04884456984856395,0.048837451369796246,7.118478767706438e-06
